S&P500_unscaled,S&P500_monthly,scale,S&P500
11,26.0,0.26,2.8600000000000003
100,26.0,0.26,26.0
20,26.0,0.26,5.2
30,26.0,0.26,7.800000000000001
36,26.0,0.26,9.36
55,26.0,0.26,14.3
31,26.0,0.26,8.06
64,26.0,0.26,16.64
30,26.0,0.26,7.800000000000001
11,26.0,0.26,2.8600000000000003
16,26.0,0.26,4.16
81,26.0,0.26,21.060000000000002
59,26.0,0.26,15.34
58,26.0,0.26,15.08
40,26.0,0.26,10.4
100,26.0,0.26,26.0
31,26.0,0.26,8.06
20,26.0,0.26,5.2
44,26.0,0.26,11.440000000000001
64,26.0,0.26,16.64
30,26.0,0.26,7.800000000000001
66,26.0,0.26,17.16
45,26.0,0.26,11.700000000000001
36,26.0,0.26,9.36
30,26.0,0.26,7.800000000000001
43,26.0,0.26,11.18
56,26.0,0.26,14.56
60,26.0,0.26,15.600000000000001
39,26.0,0.26,10.14
49,26.0,0.26,12.74
15,26.0,0.26,3.9000000000000004
51,26.0,0.26,13.26
68,26.0,0.26,17.68
90,26.0,0.26,23.400000000000002
65,26.0,0.26,16.900000000000002
78,26.0,0.26,20.28
58,26.0,0.26,15.08
25,26.0,0.26,6.5
20,26.0,0.26,5.2
82,26.0,0.26,21.32
48,26.0,0.26,12.48
69,26.0,0.26,17.94
71,26.0,0.26,18.46
36,26.0,0.26,9.36
26,26.0,0.26,6.76
41,26.0,0.26,10.66
52,26.0,0.26,13.52
56,26.0,0.26,14.56
100,26.0,0.26,26.0
71,26.0,0.26,18.46
64,26.0,0.26,16.64
26,26.0,0.26,6.76
32,26.0,0.26,8.32
23,26.0,0.26,5.98
45,26.0,0.26,11.700000000000001
35,26.0,0.26,9.1
67,26.0,0.26,17.42
28,26.0,0.26,7.28
15,26.0,0.26,3.9000000000000004
15,26.0,0.26,3.9000000000000004
43,26.0,0.26,11.18
61,26.0,0.26,15.860000000000001
52,26.0,0.26,13.52
57,26.0,0.26,14.82
54,26.0,0.26,14.040000000000001
15,26.0,0.26,3.9000000000000004
58,25.0,0.25,14.5
69,25.0,0.25,17.25
69,25.0,0.25,17.25
82,25.0,0.25,20.5
95,25.0,0.25,23.75
66,25.0,0.25,16.5
22,25.0,0.25,5.5
30,25.0,0.25,7.5
94,25.0,0.25,23.5
57,25.0,0.25,14.25
82,25.0,0.25,20.5
58,25.0,0.25,14.5
39,25.0,0.25,9.75
29,25.0,0.25,7.25
36,25.0,0.25,9.0
76,25.0,0.25,19.0
76,25.0,0.25,19.0
63,25.0,0.25,15.75
76,25.0,0.25,19.0
84,25.0,0.25,21.0
52,25.0,0.25,13.0
87,25.0,0.25,21.75
75,25.0,0.25,18.75
100,25.0,0.25,25.0
55,25.0,0.25,13.75
51,25.0,0.25,12.75
53,25.0,0.25,13.25
32,25.0,0.25,8.0
46,25.0,0.25,11.5
88,25.0,0.25,22.0
83,25.0,0.25,20.75
39,28.0,0.28,10.920000000000002
56,28.0,0.28,15.680000000000001
87,28.0,0.28,24.360000000000003
35,28.0,0.28,9.8
18,28.0,0.28,5.040000000000001
46,28.0,0.28,12.88
71,28.0,0.28,19.880000000000003
72,28.0,0.28,20.160000000000004
68,28.0,0.28,19.040000000000003
61,28.0,0.28,17.080000000000002
40,28.0,0.28,11.200000000000001
29,28.0,0.28,8.120000000000001
86,28.0,0.28,24.080000000000002
28,28.0,0.28,7.840000000000001
43,28.0,0.28,12.040000000000001
58,28.0,0.28,16.240000000000002
91,28.0,0.28,25.480000000000004
34,28.0,0.28,9.520000000000001
28,28.0,0.28,7.840000000000001
100,28.0,0.28,28.000000000000004
62,28.0,0.28,17.360000000000003
58,28.0,0.28,16.240000000000002
83,28.0,0.28,23.240000000000002
66,28.0,0.28,18.48
34,28.0,0.28,9.520000000000001
22,28.0,0.28,6.16
62,28.0,0.28,17.360000000000003
38,28.0,0.28,10.64
67,28.0,0.28,18.76
60,28.0,0.28,16.8
76,23.0,0.23,17.48
0,23.0,0.23,0.0
53,23.0,0.23,12.190000000000001
34,23.0,0.23,7.82
33,23.0,0.23,7.590000000000001
11,23.0,0.23,2.5300000000000002
67,23.0,0.23,15.41
35,23.0,0.23,8.05
41,23.0,0.23,9.43
40,23.0,0.23,9.200000000000001
100,23.0,0.23,23.0
89,23.0,0.23,20.470000000000002
89,23.0,0.23,20.470000000000002
68,23.0,0.23,15.64
70,23.0,0.23,16.1
13,23.0,0.23,2.99
52,23.0,0.23,11.96
98,23.0,0.23,22.540000000000003
87,23.0,0.23,20.01
98,23.0,0.23,22.540000000000003
77,23.0,0.23,17.71
93,23.0,0.23,21.39
27,23.0,0.23,6.21
13,23.0,0.23,2.99
23,23.0,0.23,5.29
77,23.0,0.23,17.71
43,23.0,0.23,9.89
11,23.0,0.23,2.5300000000000002
11,23.0,0.23,2.5300000000000002
40,23.0,0.23,9.200000000000001
39,23.0,0.23,8.97
47,22.0,0.22,10.34
47,22.0,0.22,10.34
73,22.0,0.22,16.06
65,22.0,0.22,14.3
61,22.0,0.22,13.42
32,22.0,0.22,7.04
19,22.0,0.22,4.18
21,22.0,0.22,4.62
57,22.0,0.22,12.540000000000001
52,22.0,0.22,11.44
75,22.0,0.22,16.5
22,22.0,0.22,4.84
57,22.0,0.22,12.540000000000001
12,22.0,0.22,2.64
36,22.0,0.22,7.92
36,22.0,0.22,7.92
42,22.0,0.22,9.24
37,22.0,0.22,8.14
28,22.0,0.22,6.16
32,22.0,0.22,7.04
38,22.0,0.22,8.36
42,22.0,0.22,9.24
57,22.0,0.22,12.540000000000001
42,22.0,0.22,9.24
64,22.0,0.22,14.08
22,22.0,0.22,4.84
38,22.0,0.22,8.36
38,22.0,0.22,8.36
95,22.0,0.22,20.9
100,22.0,0.22,22.0
95,25.0,0.25,23.75
65,25.0,0.25,16.25
32,25.0,0.25,8.0
12,25.0,0.25,3.0
36,25.0,0.25,9.0
78,25.0,0.25,19.5
54,25.0,0.25,13.5
84,25.0,0.25,21.0
100,25.0,0.25,25.0
77,25.0,0.25,19.25
24,25.0,0.25,6.0
18,25.0,0.25,4.5
48,25.0,0.25,12.0
49,25.0,0.25,12.25
60,25.0,0.25,15.0
51,25.0,0.25,12.75
